Mean,Variance,Standart deviation,Variation coefficient,Skewness coefficient,Kurtosis coefficient,Minimum,Maximum,Quantile  0.05,Quantile 0.95
149.50,5114.06,71.51,0.48,-0.98,0.08,0.00,255.00,41.00,242.00
139.01,3439.05,58.64,0.42,-0.82,-0.05,0.00,255.00,43.00,234.00
137.66,3401.85,58.33,0.42,-0.79,-0.03,0.00,255.00,41.00,234.00
147.67,5142.98,71.71,0.49,-0.92,0.13,0.00,255.00,39.00,243.00
144.86,5155.27,71.80,0.50,-0.90,0.21,0.00,255.00,39.00,244.00
137.45,3570.82,59.76,0.43,-0.83,0.04,0.00,255.00,40.00,237.00
145.05,5102.50,71.43,0.49,-0.90,0.21,0.00,255.00,41.00,242.00
145.77,5147.20,71.74,0.49,-0.92,0.20,0.00,255.00,41.00,243.00
145.27,5155.25,71.80,0.49,-0.91,0.21,0.00,255.00,40.00,243.00
143.96,5093.90,71.37,0.50,-0.88,0.23,0.00,255.00,40.00,242.00
144.41,5138.25,71.68,0.50,-0.88,0.22,0.00,255.00,39.00,243.00
146.47,5145.76,71.73,0.49,-0.89,0.18,0.00,255.00,38.00,243.00
147.92,5100.66,71.42,0.48,-0.88,0.16,0.00,255.00,40.00,243.00
149.45,5064.81,71.17,0.48,-0.89,0.12,0.00,255.00,41.00,243.00
149.60,5121.20,71.56,0.48,-0.92,0.14,0.00,255.00,41.00,244.00
149.48,5117.89,71.54,0.48,-0.93,0.13,0.00,255.00,41.00,243.00
150.10,5142.55,71.71,0.48,-0.93,0.11,0.00,255.00,40.00,243.00
156.91,5337.06,73.06,0.47,-0.99,-0.02,0.00,255.00,38.00,247.00
156.87,5168.51,71.89,0.46,-1.00,-0.07,0.00,255.00,36.00,245.00
157.57,4992.62,70.66,0.45,-0.99,-0.12,0.00,255.00,37.00,243.00
